İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,Fiyat,Ağır Hasarlı,Motor Gücü (kW),Batarya Voltajı (V),Menzil,Şarj Süresi,Pil Kapasitesi (kWh),Plaka Uyruğu
Kopyalandı30594877,30 Haziran 2025,Opel,Corsa,1.3 CDTI Essentia,2007,290.000 km,Düz,Dizel,Hatchback/5,Beyaz,1248 cc,75 hp,Önden Çekiş,İkinci El,"4,6 lt",45 lt,Belirtilmemiş,,Sahibinden,405.000 TL,,,,,,,
Kopyalandı30580275,29 Haziran 2025,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2018,125.277 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1582 cc,136 hp,Önden Çekiş,İkinci El,"4,6 lt",43 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,900.000 TL,,,,,,,
Kopyalandı30589488,29 Haziran 2025,Hyundai,i20 Troy,1.4 CRDi Team,2012,220.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1396 cc,75 hp,Önden Çekiş,İkinci El,"4,2 lt",45 lt,2 değişen,Takasa Uygun,Galeriden,410.000 TL,,,,,,,
Kopyalandı30131006,29 Haziran 2025,Ford,Ka,1.3,1998,188.000 km,Düz,Benzin,Hatchback/3,Mavi,1201 - 1400 cm3,51 - 75 HP,Önden Çekiş,İkinci El,,,Tamamı boyalı,Takasa Uygun,Galeriden,250.000 TL,,,,,,,
Kopyalandı30488901,29 Haziran 2025,Renault,Megane,1.5 dCi Joy,2017,135.000 km,Düz,Dizel,Sedan,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,7 lt",49 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,870.000 TL,,,,,,,
Kopyalandı30585486,29 Haziran 2025,Toyota,Corolla,1.5 Dream,2021,82.000 km,Otomatik,Benzin,Sedan,Gri (Gümüş),1490 cc,125 hp,Önden Çekiş,İkinci El,"5,8 lt",50 lt,1 değişen,Takasa Uygun Değil,Sahibinden,1.065.000 TL,Evet,,,,,,
Kopyalandı30564296,29 Haziran 2025,Renault,Clio,0.9 TCe Sport Tourer Touch,2020,79.500 km,Düz,Benzin,Station wagon,Beyaz,898 cc,90 hp,Önden Çekiş,İkinci El,"5,1 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,785.000 TL,,,,,,,
Kopyalandı30586545,29 Haziran 2025,Opel,Astra,1.6 CD,1999,132.000 km,Düz,Benzin,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,1 değişen,Takasa Uygun,Galeriden,479.000 TL,,,,,,,
Kopyalandı30586544,29 Haziran 2025,Ford,C-Max,1.6 TDCi Ghia,2006,294.000 km,Düz,Dizel,MPV,Gri,1560 cc,110 hp,Önden Çekiş,İkinci El,"4,9 lt",55 lt,Tamamı orjinal,Takasa Uygun,Galeriden,459.000 TL,,,,,,,
Kopyalandı30585651,29 Haziran 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2016,90.000 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,1.695.500 TL,,,,,,,
Kopyalandı30584695,29 Haziran 2025,Renault,Clio,1.2 Expression,2006,176.000 km,Düz,Benzin,Hatchback/5,Kahverengi,1149 cc,75 hp,Önden Çekiş,İkinci El,"5,9 lt",55 lt,Tamamı orjinal,Takasa Uygun,Galeriden,395.000 TL,,,,,,,
Kopyalandı30582969,29 Haziran 2025,BMW,i Serisi,i5 M60 xDrive,2025,6.000 km,Otomatik,Elektrik,Sedan,Diğer,,601 hp,4WD (Sürekli),İkinci El,,,Tamamı orjinal,,Sahibinden,8.200.000 TL,,442 kW,812 v,575 km,30,812 kWh,(TR) Türkiye
Kopyalandı30584503,29 Haziran 2025,Volkswagen,Polo,1.4,2001,303.000 km,Düz,LPG & Benzin,Hatchback/3,Mavi,1390 cc,100 hp,Önden Çekiş,İkinci El,"6,9 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,275.000 TL,,,,,,,
Kopyalandı30585083,29 Haziran 2025,Peugeot,308,1.6 BlueHdi Active,2015,88.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1560 cc,122 hp,Önden Çekiş,İkinci El,"3,5 lt",53 lt,1 boyalı,Takasa Uygun,Sahibinden,965.000 TL,,,,,,,
Kopyalandı30582242,29 Haziran 2025,Opel,Zafira,1.6 Enjoy,2007,210.000 km,Düz,Benzin,MPV,Siyah,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,515.000 TL,,,,,,,
Kopyalandı30580888,29 Haziran 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2016,276.000 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Belirtilmemiş,Takasa Uygun Değil,Galeriden,1.069.000 TL,,,,,,,
Kopyalandı30580297,29 Haziran 2025,Seat,Leon,1.2 TSI Style,2013,220.000 km,Düz,Benzin,Hatchback/5,Beyaz,4001 - 4500 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,1 boyalı,Takasa Uygun,Galeriden,768.000 TL,,,,,,,
Kopyalandı30563197,29 Haziran 2025,Honda,Civic,1.6 i ES,2004,240.500 km,Otomatik,LPG & Benzin,Hatchback/5,Gri,1590 cc,110 hp,Önden Çekiş,İkinci El,"6,7 lt",50 lt,"1 değişen, 6 boyalı",,Sahibinden,485.000 TL,,,,,,,
Kopyalandı30550970,29 Haziran 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2015,225.000 km,Yarı Otomatik,Dizel,Sedan,Füme,1598 cc,120 hp,Önden Çekiş,İkinci El,4 lt,66 lt,"2 değişen, 7 boyalı",,Sahibinden,1.050.000 TL,,,,,,,
Kopyalandı30578642,29 Haziran 2025,Toyota,Corolla,1.33 Life,2017,112.000 km,Düz,Benzin,Sedan,Beyaz,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,6 boyalı,Takasa Uygun,Galeriden,805.750 TL,,,,,,,
Kopyalandı30560371,29 Haziran 2025,Fiat,Punto,Grande 1.4 Fire Active,2010,155.100 km,Yarı Otomatik,Benzin,Hatchback/5,Siyah,1368 cc,77 hp,Önden Çekiş,İkinci El,"6,1 lt",45 lt,9 boyalı,,Sahibinden,399.000 TL,,,,,,,
Kopyalandı30560570,29 Haziran 2025,Kia,Picanto,1.1 EX,2007,209.000 km,Düz,Benzin,Hatchback/5,Kırmızı,1086 cc,65 hp,Önden Çekiş,İkinci El,"4,9 lt",35 lt,5 boyalı,,Sahibinden,295.000 TL,,,,,,,
Kopyalandı30560562,29 Haziran 2025,Fiat,Palio,1.2 EL,2002,160.000 km,Düz,Benzin,Hatchback/5,Diğer,1242 cc,74 hp,Önden Çekiş,İkinci El,"7,2 lt",51 lt,"1 değişen, 1 boyalı",,Sahibinden,290.000 TL,,,,,,,
Kopyalandı30576287,29 Haziran 2025,Audi,A5,A5 Sportback 2.0 TDI Quattro,2013,252.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1968 cc,177 hp,4WD (Sürekli),İkinci El,"4,6 lt",63 lt,"2 değişen, 4 boyalı",Takasa Uygun Değil,Sahibinden,1.270.000 TL,,,,,,,
Kopyalandı30557376,29 Haziran 2025,Hyundai,i20,1.2 MPI Style,2015,139.000 km,Düz,Benzin,Hatchback/5,Füme,1248 cc,84 hp,Önden Çekiş,İkinci El,"5,1 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,755.000 TL,,,,,,,
Kopyalandı30575646,29 Haziran 2025,Volkswagen,Passat,1.4 TSi BlueMotion Trendline,2011,199.500 km,Düz,Benzin,Sedan,Gri,1201 - 1400 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,"2 değişen, 4 boyalı",Takasa Uygun,Galeriden,699.000 TL,,,,,,,
Kopyalandı30554643,29 Haziran 2025,Volkswagen,Polo,1.2 TDi Trendline,2013,262.000 km,Düz,Dizel,Hatchback/5,Gri,1199 cc,75 hp,Önden Çekiş,İkinci El,"3,8 lt",45 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,485.000 TL,,,,,,,
Kopyalandı30554613,29 Haziran 2025,Skoda,Rapid,1.4 TDI GreenTec Style,2015,237.000 km,Yarı Otomatik,Dizel,Sedan,Füme,1422 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",55 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,680.000 TL,,,,,,,
Kopyalandı29324320,29 Haziran 2025,Opel,Corsa,1.3 CDTI Essentia,2005,243.000 km,Yarı Otomatik,Dizel,Hatchback/5,Gri (Gümüş),1248 cc,70 hp,Önden Çekiş,İkinci El,"4,4 lt",44 lt,Belirtilmemiş,Takasa Uygun,Galeriden,349.000 TL,,,,,,,
Kopyalandı30575015,29 Haziran 2025,Peugeot,208,1.2 PureTech Allure Selection,2021,78.000 km,Otomatik,Benzin,Hatchback/5,Füme,1200 cm3' e kadar,126 - 150 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,1.085.000 TL,,,,,,,
Kopyalandı30574671,29 Haziran 2025,Fiat,Linea,1.4 Fire Actual Plus,2013,197.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1368 cc,77 hp,Önden Çekiş,İkinci El,"6,3 lt",45 lt,9 boyalı,Takasa Uygun Değil,Sahibinden,428.000 TL,,,,,,,
Kopyalandı30545531,29 Haziran 2025,Renault,Fluence,1.5 dCi Touch,2015,172.500 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,İkinci El,"4,4 lt",60 lt,"2 değişen, 2 boyalı",,Sahibinden,720.000 TL,,,,,,,
