İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,Fiyat,Ağır Hasarlı,Motor Gücü (kW),Batarya Voltajı (V),Menzil,Şarj Süresi,Pil Kapasitesi (kWh),Plaka Uyruğu
Kopyalandı30206582,28 Haziran 2025,Tesla,Model Y,Standart Range,2024,11.000 km,Otomatik,Elektrik,Hatchback/5,Kırmızı,,217 hp,Arkadan İtiş,İkinci El,,,Belirtilmemiş,,Galeriden,1.975.000 TL,,523 kW,399 v,455 km,10,399 kWh,(TR) Türkiye
Kopyalandı30197334,28 Haziran 2025,Volkswagen,Jetta,1.4 TSi Comfortline,2013,76.284 km,Düz,Benzin,Sedan,Gri,1201 - 1400 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun,Galeriden,985.000 TL,,,,,,,
Kopyalandı30550190,28 Haziran 2025,Fiat,Egea,1.6 E-Torq Lounge,2016,127.000 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1598 cc,110 hp,Önden Çekiş,İkinci El,"6,3 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,835.000 TL,,,,,,,
Kopyalandı30550182,28 Haziran 2025,Toyota,Yaris,1.33 Terra Sporty,2011,94.289 km,Düz,Benzin,Hatchback/5,Gri,1329 cc,101 hp,Önden Çekiş,İkinci El,"5,1 lt",42 lt,"5 değişen, 3 boyalı",Takasa Uygun Değil,Galeriden,475.000 TL,,,,,,,
Kopyalandı30482819,28 Haziran 2025,Fiat,Egea,1.3 Multijet Easy,2022,72.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,İkinci El,"4,1 lt",50 lt,"1 değişen, 2 boyalı",Takasa Uygun Değil,Galeriden,850.000 TL,,,,,,,
Kopyalandı27910113,28 Haziran 2025,Opel,Insignia,1.6 CDTI Grand Sport Enjoy,2020,114.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,136 hp,Önden Çekiş,İkinci El,"5,1 lt",62 lt,Tamamı orjinal,Takasa Uygun,Galeriden,1.450.000 TL,,,,,,,
Kopyalandı27279076,28 Haziran 2025,Skoda,Octavia,1.6 TDI Style,2019,244.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun,Galeriden,1.220.000 TL,,,,,,,
Kopyalandı30549776,28 Haziran 2025,Fiat,Egea,1.3 Multijet Easy Plus,2017,200.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,İkinci El,"4,1 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,610.000 TL,,,,,,,
Kopyalandı30549688,28 Haziran 2025,Ford,Focus,1.5 Ti-VCT Titanium,2019,120.000 km,Otomatik,Benzin,Sedan,Kırmızı,1497 cc,123 hp,Önden Çekiş,İkinci El,"6,5 lt",52 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,1.230.000 TL,,,,,,,
Kopyalandı30549431,28 Haziran 2025,Ford,Focus,1.6 TDCi Trend,2012,228.000 km,Düz,Dizel,Sedan,Gri,1560 cc,95 hp,Önden Çekiş,İkinci El,"4,2 lt",53 lt,"1 değişen, 4 boyalı",Takasa Uygun,Sahibinden,624.000 TL,,,,,,,
Kopyalandı30549449,28 Haziran 2025,Volkswagen,Passat,1.9 TDi Highline,2004,500.000 km,Otomatik,Dizel,Sedan,Siyah,1896 cc,130 hp,Önden Çekiş,İkinci El,7 lt,62 lt,Belirtilmemiş,Takasa Uygun,Galeriden,455.000 TL,,,,,,,
Kopyalandı30549143,27 Haziran 2025,Opel,Astra,1.6 CD,2000,309.860 km,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1598 cc,100 hp,Önden Çekiş,İkinci El,"7,4 lt",52 lt,Belirtilmemiş,Takasa Uygun,Galeriden,415.000 TL,,,,,,,
Kopyalandı27690070,27 Haziran 2025,Opel,Astra,1.4 Comfort,2001,301.200 km,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1388 cc,90 hp,Önden Çekiş,İkinci El,"7,2 lt",52 lt,Belirtilmemiş,Takasa Uygun,Galeriden,337.000 TL,,,,,,,
Kopyalandı30548630,27 Haziran 2025,Audi,A3,A3 Sportback 1.6 Attraction,2008,292.000 km,Otomatik,LPG & Benzin,Hatchback/5,Siyah,1595 cc,102 hp,Önden Çekiş,İkinci El,"7,6 lt",55 lt,"1 değişen, 11 boyalı",Takasa Uygun,Galeriden,640.000 TL,,,,,,,
Kopyalandı30548478,27 Haziran 2025,Hyundai,i20,1.4 MPI Jump,2022,74.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1368 cc,100 hp,Önden Çekiş,İkinci El,"6,1 lt",40 lt,1 boyalı,Takasa Uygun Değil,Galeriden,985.000 TL,,,,,,,
Kopyalandı30299633,27 Haziran 2025,Toyota,Yaris,1.0 Terra Sporty,2011,228.000 km,Düz,Benzin,Hatchback/5,Siyah,998 cc,69 hp,Önden Çekiş,İkinci El,5 lt,42 lt,Belirtilmemiş,Takasa Uygun,Galeriden,465.000 TL,,,,,,,
Kopyalandı30299565,27 Haziran 2025,Ford,Fiesta,1.4 TDCi Comfort,2006,276.000 km,Düz,Dizel,Hatchback/5,Füme,1399 cc,68 hp,Önden Çekiş,İkinci El,"4,3 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,388.500 TL,,,,,,,
Kopyalandı30299406,27 Haziran 2025,Ford,Focus,1.6 Ghia,2001,293.000 km,Otomatik,LPG & Benzin,Station wagon,Lacivert,1596 cc,100 hp,Önden Çekiş,İkinci El,"8,2 lt",55 lt,Belirtilmemiş,Takasa Uygun,Galeriden,368.500 TL,,,,,,,
Kopyalandı30299297,27 Haziran 2025,Chevrolet,Kalos,1.4 SE,2005,171.000 km,Düz,LPG & Benzin,Hatchback/5,Gri,1399 cc,83 hp,Önden Çekiş,İkinci El,"7,5 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,296.500 TL,,,,,,,
Kopyalandı30298792,27 Haziran 2025,Renault,Safrane,2.0,1993,424.000 km,Düz,LPG & Benzin,Hatchback/5,Bordo,1995 cc,106 hp,-,İkinci El,,,Belirtilmemiş,Takasa Uygun Değil,Galeriden,239.500 TL,,,,,,,
Kopyalandı30547560,27 Haziran 2025,Renault,Fluence,1.5 dCi Icon,2015,340.000 km,Yarı Otomatik,Dizel,Sedan,Siyah,1461 cc,110 hp,Önden Çekiş,İkinci El,"4,4 lt",60 lt,Tamamı orjinal,-,Sahibinden,550.000 TL,,,,,,,
Kopyalandı30496466,27 Haziran 2025,Opel,Astra,1.6 CDTI Business,2015,172.000 km,Düz,Dizel,Sedan,Gri,1598 cc,110 hp,Önden Çekiş,İkinci El,4 lt,56 lt,"1 değişen, 1 boyalı",Takasa Uygun,Sahibinden,690.000 TL,,,,,,,
Kopyalandı30546016,27 Haziran 2025,Renault,Fluence,1.6 Extreme,2010,225.000 km,Otomatik,Benzin,Sedan,Gri (Gümüş),1598 cc,105 hp,Önden Çekiş,İkinci El,"7,7 lt",60 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,625.000 TL,,,,,,,
Kopyalandı30545238,27 Haziran 2025,Volkswagen,Golf,1.4 TSi Trendline,2009,122.500 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,1390 cc,122 hp,Önden Çekiş,İkinci El,6 lt,55 lt,5 boyalı,Takasa Uygun Değil,Galeriden,785.000 TL,,,,,,,
Kopyalandı30135002,27 Haziran 2025,Lada,Vega,1.5,2003,174.000 km,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),1499 cc,93 hp,Önden Çekiş,İkinci El,"7,4 lt",43 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,200.000 TL,,,,,,,
Kopyalandı30543893,27 Haziran 2025,Peugeot,308,1.6 VTi Comfort,2010,135.000 km,Düz,Benzin,Hatchback/5,Gri,1598 cc,122 hp,Önden Çekiş,İkinci El,"6,7 lt",60 lt,5 boyalı,Takasa Uygun Değil,Sahibinden,390.000 TL,,,,,,,
Kopyalandı30543913,27 Haziran 2025,Skoda,SuperB,1.5 TSI Prestige,2021,93.000 km,Yarı Otomatik,Benzin,Sedan,Gri,1498 cc,150 hp,Önden Çekiş,İkinci El,"5,4 lt",66 lt,3 boyalı,Takasa Uygun,Galeriden,1.895.000 TL,,,,,,,
Kopyalandı30543681,27 Haziran 2025,Peugeot,208,1.2 PureTech Access,2016,94.508 km,Düz,Benzin,Hatchback/5,Siyah,1200 cm3' e kadar,76 - 100 HP,Önden Çekiş,İkinci El,,,4 boyalı,Takasa Uygun,Galeriden,567.500 TL,,,,,,,
Kopyalandı30543508,27 Haziran 2025,Volkswagen,Jetta,1.2 TSi Comfortline,2012,204.000 km,Düz,Benzin,Sedan,Beyaz,1197 cc,105 hp,Önden Çekiş,İkinci El,"5,7 lt",55 lt,"1 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,650.000 TL,,,,,,,
Kopyalandı30542850,27 Haziran 2025,Fiat,Egea,1.3 Multijet Easy Plus,2023,44.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,İkinci El,"4,1 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,1.020.000 TL,,,,,,,
Kopyalandı30540395,27 Haziran 2025,Toyota,Avensis,2.0 Comfort,2004,335.000 km,Düz,LPG & Benzin,Sedan,Siyah,1998 cc,147 hp,Önden Çekiş,İkinci El,"8,1 lt",60 lt,"2 değişen, 4 boyalı",,Sahibinden,329.000 TL,,,,,,,
Kopyalandı30541685,27 Haziran 2025,Mercedes - Benz,C,C 200 d BlueTEC Style,2016,154.500 km,Otomatik,Dizel,Sedan,Beyaz,1598 cc,136 hp,Arkadan İtiş,İkinci El,"4,2 lt",41 lt,2 boyalı,Takasa Uygun,Galeriden,1.510.000 TL,,,,,,,
Kopyalandı30274571,27 Haziran 2025,Renault,Megane,1.5 Blue DCI Touch,2022,16.000 km,Yarı Otomatik,Dizel,Sedan,Füme,1461 cc,115 hp,Önden Çekiş,İkinci El,"4,1 lt",49 lt,Tamamı orjinal,Takasa Uygun,Galeriden,1.595.000 TL,,,,,,,
Kopyalandı30541253,27 Haziran 2025,Skoda,Octavia,1.6 TDI Style,2019,165.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,115 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,1.490.000 TL,,,,,,,
Kopyalandı30536410,27 Haziran 2025,Toyota,Corolla,1.4 D-4D Touch,2014,183.000 km,Düz,Dizel,Sedan,Beyaz,1364 cc,90 hp,Önden Çekiş,İkinci El,"4,1 lt",55 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,795.000 TL,,,,,,,
Kopyalandı30540831,27 Haziran 2025,Volkswagen,Golf,1.5 TSi Comfortline,2020,64.200 km,Otomatik,Benzin,Hatchback/5,Mavi,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,İkinci El,,,1 boyalı,Takasa Uygun,Galeriden,1.390.000 TL,,,,,,,
Kopyalandı30535628,27 Haziran 2025,Mercedes - Benz,C,C 180 AMG,2012,180.000 km,Otomatik,Benzin,Sedan,Siyah,1796 cc,156 hp,Arkadan İtiş,İkinci El,"6,7 lt",67 lt,3 boyalı,,Sahibinden,1.050.000 TL,Evet,,,,,,
Kopyalandı28363806,27 Haziran 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2013,337.000 km,Düz,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,İkinci El,"4,3 lt",70 lt,Tamamı orjinal,Takasa Uygun,Galeriden,735.000 TL,,,,,,,
Kopyalandı30517683,27 Haziran 2025,Volkswagen,Golf,1.2 TSi Comfortline,2013,233.100 km,Yarı Otomatik,Benzin,Hatchback/5,Siyah,1197 cc,105 hp,Önden Çekiş,İkinci El,"4,8 lt",50 lt,11 boyalı,Takasa Uygun Değil,Sahibinden,689.000 TL,,,,,,,
Kopyalandı30540084,27 Haziran 2025,Volkswagen,Jetta,1.4 TSi BlueMotion Highline,2016,287.000 km,Düz,Benzin,Sedan,Beyaz,1395 cc,125 hp,Önden Çekiş,İkinci El,"5,3 lt",55 lt,1 değişen,Takasa Uygun Değil,Sahibinden,1.020.000 TL,,,,,,,
Kopyalandı30540110,27 Haziran 2025,Fiat,Brava,1.6 ELX,2001,335.000 km,Düz,Benzin,Hatchback/5,Bordo,1581 cc,103 hp,Önden Çekiş,İkinci El,"7,8 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,183.000 TL,,,,,,,
Kopyalandı30539074,27 Haziran 2025,Mercedes - Benz,C,C 180 AMG,2013,281.500 km,Otomatik,Benzin,Sedan,Beyaz,1401 - 1600 cm3,151 - 175 HP,Arkadan İtiş,İkinci El,,,6 boyalı,Takasa Uygun,Galeriden,1.170.000 TL,,,,,,,
Kopyalandı30538948,27 Haziran 2025,Opel,Corsa,1.3 CDTI Essentia,2015,207.000 km,Yarı Otomatik,Dizel,Hatchback/5,Gri (metalik),1248 cc,95 hp,Önden Çekiş,İkinci El,"3,2 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden,700.000 TL,,,,,,,
Kopyalandı30522250,27 Haziran 2025,Opel,Astra,1.3 CDTI Essentia,2007,309.000 km,Düz,Dizel,Hatchback/5,Siyah,1248 cc,90 hp,Önden Çekiş,İkinci El,"4,8 lt",52 lt,Tamamı orjinal,,Sahibinden,345.000 TL,,,,,,,
Kopyalandı30537540,27 Haziran 2025,Volkswagen,Polo,1.0 TSi Life,2024,10.700 km,Otomatik,Benzin,Hatchback/5,Gri,1200 cm3' e kadar,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,1.349.000 TL,,,,,,,
Kopyalandı30537388,27 Haziran 2025,Volkswagen,Golf,1.0 eTSI Style,2023,18.000 km,Otomatik,Benzin,Hatchback/5,Gri,1200 cm3' e kadar,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,1.745.900 TL,,,,,,,
Kopyalandı28709945,27 Haziran 2025,Volkswagen,Jetta,1.4 TSi Comfortline,2008,257.000 km,Yarı Otomatik,Benzin,Sedan,Siyah,1390 cc,140 hp,Önden Çekiş,İkinci El,"7,1 lt",55 lt,Belirtilmemiş,,Sahibinden,530.000 TL,,,,,,,
Kopyalandı30535945,27 Haziran 2025,Tofaş,Doğan,L,1990,350.000 km,Düz,LPG & Benzin,Sedan,Bordo,1581 cc,83 hp,Arkadan İtiş,İkinci El,"6,5 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,135.000 TL,,,,,,,
Kopyalandı30535725,27 Haziran 2025,Volkswagen,Golf,1.4 TSi Comfortline,2009,225.000 km,Yarı Otomatik,Benzin,Hatchback/5,Siyah,1390 cc,122 hp,Önden Çekiş,İkinci El,6 lt,55 lt,3 boyalı,Takasa Uygun,Galeriden,715.000 TL,,,,,,,
Kopyalandı30521374,27 Haziran 2025,Ford,Focus,1.6 TDCi Titanium,2017,180.600 km,Düz,Dizel,Sedan,Beyaz,1560 cc,115 hp,Önden Çekiş,İkinci El,"4,2 lt",55 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,960.000 TL,,,,,,,
Kopyalandı30520594,27 Haziran 2025,Hyundai,Getz,1.4 DOHC AB AC,2006,144.000 km,Düz,Benzin,Hatchback/5,Beyaz,1399 cc,97 hp,Önden Çekiş,İkinci El,6 lt,45 lt,3 değişen,Takasa Uygun Değil,Sahibinden,410.000 TL,,,,,,,
Kopyalandı30534320,27 Haziran 2025,Honda,Civic,1.6 i-VTEC ECO Elegance,2017,141.000 km,Yarı Otomatik,LPG & Benzin,Sedan,Siyah,1597 cc,125 hp,Önden Çekiş,İkinci El,"6,7 lt",47 lt,Tamamı orjinal,,Sahibinden,1.320.000 TL,,,,,,,
Kopyalandı30535366,27 Haziran 2025,Fiat,Albea,1.2 EL,2005,214.000 km,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1242 cc,80 hp,Önden Çekiş,İkinci El,7 lt,47 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,335.000 TL,,,,,,,
Kopyalandı30535449,27 Haziran 2025,Toyota,Corolla,1.6 Flame X Pack,2020,43.800 km,Otomatik,Benzin,Sedan,Mavi,1598 cc,132 hp,Önden Çekiş,İkinci El,"5,5 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,1.535.000 TL,,,,,,,
Kopyalandı30535021,27 Haziran 2025,Fiat,Albea,1.2 Dynamic,2004,250.000 km,Düz,LPG & Benzin,Sedan,Şampanya,1242 cc,80 hp,Önden Çekiş,İkinci El,7 lt,47 lt,"2 değişen, 11 boyalı",Takasa Uygun Değil,Galeriden,310.000 TL,,,,,,,
Kopyalandı30534660,27 Haziran 2025,Renault,Clio,1.2 SportTourer Joy,2014,145.000 km,Düz,Benzin,Station wagon,Gri,1149 cc,75 hp,Önden Çekiş,İkinci El,"5,5 lt",45 lt,2 boyalı,Takasa Uygun,Galeriden,575.750 TL,,,,,,,
Kopyalandı30534643,27 Haziran 2025,Ford,Fiesta,1.4 TDCi Titanium,2011,226.000 km,Düz,Dizel,Hatchback/5,Gri,1398 cc,70 hp,Önden Çekiş,İkinci El,"4,2 lt",45 lt,"1 değişen, 4 boyalı",Takasa Uygun,Galeriden,395.000 TL,,,,,,,
Kopyalandı30534424,27 Haziran 2025,Renault,Megane,1.5 Blue DCI Touch,2020,92.500 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,115 hp,Önden Çekiş,İkinci El,"4,2 lt",49 lt,Tamamı orjinal,-,Sahibinden,1.265.000 TL,,,,,,,
Kopyalandı30533781,27 Haziran 2025,Fiat,Egea,1.4 Fire Urban,2024,8.000 km,Düz,Benzin,Sedan,Mavi,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,910.000 TL,,,,,,,
Kopyalandı30533753,27 Haziran 2025,Renault,Clio,0.9 TCe Icon,2020,59.000 km,Düz,Benzin,Hatchback/5,Kırmızı,1200 cm3' e kadar,76 - 100 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun,Galeriden,810.000 TL,,,,,,,
Kopyalandı30533104,27 Haziran 2025,Hyundai,Accent Era,1.4 Team,2012,186.363 km,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1399 cc,97 hp,Önden Çekiş,İkinci El,"6,5 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,560.000 TL,,,,,,,
Kopyalandı28123685,27 Haziran 2025,Volkswagen,Polo,1.2 TDi Trendline,2014,269.521 km,Düz,Dizel,Hatchback/5,Beyaz,1199 cc,75 hp,Önden Çekiş,İkinci El,"3,8 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,573.500 TL,,,,,,,
Kopyalandı30533366,27 Haziran 2025,BMW,3 Serisi,320i ED 40th Year Edition,2015,232.000 km,Otomatik,Benzin,Sedan,Beyaz,1401 - 1600 cm3,151 - 175 HP,Arkadan İtiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,1.245.000 TL,,,,,,,
Kopyalandı30533311,27 Haziran 2025,Renault,Megane,1.5 dCi Touch Plus,2017,249.000 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,729.000 TL,,,,,,,
Kopyalandı30533195,27 Haziran 2025,Mercedes - Benz,CLS,350 D AMG,2016,215.000 km,Otomatik,Dizel,Coupe,Siyah,2501 - 3000 cm3,251 - 275 HP,4WD (Sürekli),İkinci El,,,1 boyalı,Takasa Uygun Değil,Galeriden,2.587.500 TL,,,,,,,
Kopyalandı30532777,27 Haziran 2025,Ford,Focus,1.6 Ghia,2003,400.000 km,Otomatik,LPG & Benzin,Sedan,Lacivert,1596 cc,100 hp,Önden Çekiş,İkinci El,"7,8 lt",55 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,450.000 TL,,,,,,,
Kopyalandı30532827,27 Haziran 2025,Renault,Symbol,1.5 dCi Joy,2015,95.016 km,Düz,Dizel,Sedan,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,680.000 TL,,,,,,,
Kopyalandı30530308,27 Haziran 2025,BMW,5 Serisi,520i Standart,1998,360.000 km,Otomatik,LPG & Benzin,Sedan,Yeşil (metalik),1991 cc,150 hp,Arkadan İtiş,İkinci El,"10,2 lt",80 lt,1 değişen,Takasa Uygun,Galeriden,425.000 TL,,,,,,,
Kopyalandı30532405,27 Haziran 2025,Opel,Corsa,1.2 Twinport Essentia,2014,109.124 km,Düz,Benzin,Hatchback/5,Beyaz,1229 cc,85 hp,Önden Çekiş,İkinci El,"5,3 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden,625.000 TL,,,,,,,
Kopyalandı30532222,27 Haziran 2025,BMW,3 Serisi,320d Premium,2012,330.000 km,Otomatik,Dizel,Sedan,Siyah,1995 cc,184 hp,Arkadan İtiş,İkinci El,"4,4 lt",57 lt,"3 değişen, 1 boyalı",Takasa Uygun,Galeriden,1.050.000 TL,,,,,,,
Kopyalandı30531112,27 Haziran 2025,Hyundai,i10,1.2 MPI Style,2025,6.001 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,1197 cc,79 hp,Önden Çekiş,İkinci El,"6,2 lt",36 lt,Tamamı orjinal,Takasa Uygun,Galeriden,1.090.000 TL,,,,,,,
Kopyalandı30531240,27 Haziran 2025,Mercedes - Benz,A,A 180 d AMG,2020,104.000 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun,Galeriden,1.955.000 TL,,,,,,,
Kopyalandı29293065,27 Haziran 2025,Opel,Insignia,1.6 CDTI Grand Sport Excellence,2017,300.000 km,Otomatik,Dizel,Hatchback/5,Gri (titanyum),1598 cc,136 hp,Önden Çekiş,İkinci El,"5,1 lt",62 lt,4 değişen,Takasa Uygun,Galeriden,815.000 TL,,,,,,,
Kopyalandı30530276,27 Haziran 2025,Toyota,Corolla,1.5 Dream,2021,75.000 km,Otomatik,Benzin,Sedan,Beyaz,1490 cc,125 hp,Önden Çekiş,İkinci El,"5,8 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,1.299.000 TL,,,,,,,
Kopyalandı30444784,27 Haziran 2025,Opel,Astra,1.6 Essentia,2012,105.000 km,Düz,Benzin,Hatchback/5,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,649.000 TL,,,,,,,
Kopyalandı30529916,27 Haziran 2025,Renault,Clio,1.0 SCe Joy,2023,16.000 km,Düz,Benzin,Hatchback/5,Kırmızı,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,818.000 TL,,,,,,,
Kopyalandı30529769,27 Haziran 2025,Ford,Focus,1.5 TDCi Trend X,2016,157.000 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,3 boyalı,Takasa Uygun,Galeriden,919.000 TL,,,,,,,
Kopyalandı30529570,27 Haziran 2025,Hyundai,Accent Blue,1.6 CRDI Mode,2015,185.000 km,Otomatik,Dizel,Sedan,Beyaz,1582 cc,136 hp,Önden Çekiş,İkinci El,"5,6 lt",43 lt,2 boyalı,Takasa Uygun Değil,Galeriden,785.000 TL,,,,,,,
Kopyalandı30529306,27 Haziran 2025,Honda,Civic,1.6 i-VTEC Eco Premium,2015,160.000 km,Otomatik,LPG & Benzin,Sedan,Siyah,1598 cc,125 hp,Önden Çekiş,İkinci El,"6,7 lt",50 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,885.000 TL,,,,,,,
Kopyalandı30529292,27 Haziran 2025,Renault,Megane,1.5 dCi Touch,2018,168.000 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun,Galeriden,1.025.000 TL,,,,,,,
Kopyalandı30529153,27 Haziran 2025,Renault,Clio,1.5 dCi Joy,2016,179.500 km,Düz,Dizel,Hatchback/5,Beyaz,1401 - 1600 cm3,51 - 75 HP,Önden Çekiş,İkinci El,,,"1 değişen, 3 boyalı",Takasa Uygun,Galeriden,665.900 TL,,,,,,,
Kopyalandı30528846,27 Haziran 2025,Volkswagen,Passat,1.9 TDi Exclusive,2005,265.000 km,Otomatik,Dizel,Sedan,Gri (Gümüş),1896 cc,130 hp,Önden Çekiş,İkinci El,7 lt,62 lt,"1 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,520.000 TL,,,,,,,
Kopyalandı30529009,27 Haziran 2025,Honda,Civic,1.6 i-VTEC ECO Elegance,2021,115.000 km,Otomatik,Benzin,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,3 değişen,Takasa Uygun,Galeriden,1.269.000 TL,,,,,,,
Kopyalandı30528672,27 Haziran 2025,Kia,Ceed,1.6 CRDi Motion,2011,186.300 km,Düz,Dizel,Hatchback/5,Siyah,1582 cc,115 hp,Önden Çekiş,İkinci El,"4,4 lt",53 lt,6 boyalı,Takasa Uygun,Sahibinden,575.000 TL,,,,,,,
Kopyalandı29894959,27 Haziran 2025,Toyota,Corolla,1.5 Dream,2022,33.000 km,Otomatik,Benzin,Sedan,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,1.365.000 TL,,,,,,,
Kopyalandı29922102,27 Haziran 2025,Opel,Corsa,1.4 Enjoy,2015,77.000 km,Otomatik,Benzin,Hatchback/5,Gri,1398 cc,90 hp,Önden Çekiş,İkinci El,6 lt,45 lt,"3 değişen, 3 boyalı",Takasa Uygun,Galeriden,749.500 TL,,,,,,,
Kopyalandı29920533,27 Haziran 2025,Fiat,Egea,1.6 Multijet Urban,2017,180.000 km,Otomatik,Benzin,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,"1 değişen, 7 boyalı",Takasa Uygun,Galeriden,575.000 TL,,,,,,,
Kopyalandı30192180,27 Haziran 2025,Hyundai,i30,1.6 CRDi Elite,2013,84.000 km,Otomatik,Dizel,Hatchback/5,Siyah,1582 cc,128 hp,Önden Çekiş,İkinci El,"5,5 lt",53 lt,Tamamı orjinal,Takasa Uygun,Galeriden,1.025.000 TL,,,,,,,
Kopyalandı30175034,27 Haziran 2025,Citroen,C-Elysee,1.5 BlueHDi Feel,2022,30.000 km,Düz,Dizel,Sedan,Gri,1499 cc,100 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,3 boyalı,Takasa Uygun,Galeriden,899.000 TL,,,,,,,
Kopyalandı30174813,27 Haziran 2025,Fiat,Egea,1.3 Multijet Easy,2023,60.000 km,Düz,Benzin,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,İkinci El,"4,1 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,865.000 TL,,,,,,,
